Charge distribution ,,,,,,,,,,,,,,,,,
Tob14,,,,,,,,,,,,,,,,,
V00,cV0 (old),cV01,cV02,cV03,cV04,cV05,cV06,cV07,cV8,cV9,cV10,cV11,cV12,,,,
Ca+t,1.50,1.70,1.70,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,,,,
Casl,1.50,1.70,2.00,2.00,1.80,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70,,,,
Sc2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,
Sc3,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.88,1.00,1.00,0.85,0.88,,,,
Hoy,0.41,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.43,0.40,,,,
Oc22,-1.00,-1.04,-1.19,-1.19,-1.09,-1.04,-1.10,-1.08,-0.96,-1.10,-1.01,-0.96,-0.96,,,,
Oc13,-1.00,-1.04,-1.04,-0.94,-0.94,-0.94,-0.94,-0.94,-0.94,-1.00,-1.00,-0.94,-0.94,,,,
Oc12,-0.50,-0.60,-0.60,-0.60,-0.60,-0.60,-0.58,-0.58,-0.58,-0.50,-0.53,-0.58,-0.58,,,,
Oc14,-0.66,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.67,-0.67,-0.65,-0.65,-0.67,-0.67,,,,
sc2,,,,,,,,,,,-0.030,0.040,0.040,,,,
sc3,,,,,,,,,,,0.060,-0.080,-0.080,,,,
Surface Energy,415.9119616,461.9220287,404.2663329,487.4051196,493.134519,497.6687876,480.742311,476.742311,470.742311,482.742311,476.742311,437.9382601,378.9641736,,,,
