force_field,run,ca_si_ratio,direction,strain,density_mean,pxx_mean
CVFF,run2,1.2,xx,-0.01,,
CVFF,run2,1.2,xx,-0.02,,
CVFF,run2,1.2,xx,0.01,,
CVFF,run2,1.2,xx,0.02,,
CVFF,run2,1.2,yy,-0.01,,
CVFF,run2,1.2,yy,-0.02,,
CVFF,run2,1.2,yy,0.01,,
CVFF,run2,1.2,yy,0.02,,
CVFF,run2,1.2,zz,-0.01,,
CVFF,run2,1.2,zz,-0.02,,
CVFF,run2,1.2,zz,0.01,,
CVFF,run2,1.2,zz,0.02,,
CVFF,run2,1.2,xy,-0.01,,
CVFF,run2,1.2,xy,-0.02,,
CVFF,run2,1.2,xy,0.01,,
CVFF,run2,1.2,xy,0.02,,
CVFF,run2,1.2,xz,-0.01,,
CVFF,run2,1.2,xz,-0.02,,
CVFF,run2,1.2,xz,0.01,,
CVFF,run2,1.2,xz,0.02,,
CVFF,run2,1.2,yz,-0.01,,
CVFF,run2,1.2,yz,-0.02,,
CVFF,run2,1.2,yz,0.01,,
CVFF,run2,1.2,yz,0.02,,
CVFF,run2,1.2,undeformed,0.0,,
CVFF,run2,1.3,xx,-0.01,,
CVFF,run2,1.3,xx,-0.02,,
CVFF,run2,1.3,xx,0.01,,
CVFF,run2,1.3,xx,0.02,,
CVFF,run2,1.3,yy,-0.01,,
CVFF,run2,1.3,yy,-0.02,,
CVFF,run2,1.3,yy,0.01,,
CVFF,run2,1.3,yy,0.02,,
CVFF,run2,1.3,zz,-0.01,,
CVFF,run2,1.3,zz,-0.02,,
CVFF,run2,1.3,zz,0.01,,
CVFF,run2,1.3,zz,0.02,,
CVFF,run2,1.3,xy,-0.01,,
CVFF,run2,1.3,xy,-0.02,,
CVFF,run2,1.3,xy,0.01,,
CVFF,run2,1.3,xy,0.02,,
CVFF,run2,1.3,xz,-0.01,,
CVFF,run2,1.3,xz,-0.02,,
CVFF,run2,1.3,xz,0.01,,
CVFF,run2,1.3,xz,0.02,,
CVFF,run2,1.3,yz,-0.01,,
CVFF,run2,1.3,yz,-0.02,,
CVFF,run2,1.3,yz,0.01,,
CVFF,run2,1.3,yz,0.02,,
CVFF,run2,1.3,undeformed,0.0,,
CVFF,run2,1.4,xx,-0.01,,
CVFF,run2,1.4,xx,-0.02,,
CVFF,run2,1.4,xx,0.01,,
CVFF,run2,1.4,xx,0.02,,
CVFF,run2,1.4,yy,-0.01,,
CVFF,run2,1.4,yy,-0.02,,
CVFF,run2,1.4,yy,0.01,,
CVFF,run2,1.4,yy,0.02,,
CVFF,run2,1.4,zz,-0.01,,
CVFF,run2,1.4,zz,-0.02,,
CVFF,run2,1.4,zz,0.01,,
CVFF,run2,1.4,zz,0.02,,
CVFF,run2,1.4,xy,-0.01,,
CVFF,run2,1.4,xy,-0.02,,
CVFF,run2,1.4,xy,0.01,,
CVFF,run2,1.4,xy,0.02,,
CVFF,run2,1.4,xz,-0.01,,
CVFF,run2,1.4,xz,-0.02,,
CVFF,run2,1.4,xz,0.01,,
CVFF,run2,1.4,xz,0.02,,
CVFF,run2,1.4,yz,-0.01,,
CVFF,run2,1.4,yz,-0.02,,
CVFF,run2,1.4,yz,0.01,,
CVFF,run2,1.4,yz,0.02,,
CVFF,run2,1.4,undeformed,0.0,,
CVFF,run2,1.5,xx,-0.01,,
