frame,time_ns,angle_deg
900,8.99,13.334924
901,9.0,15.22058
902,9.01,19.74385
903,9.02,17.475817
904,9.03,13.175526
905,9.04,4.894757
906,9.05,14.81027
907,9.06,9.718327
908,9.07,7.5357513
909,9.08,3.3548808
910,9.09,14.110211
911,9.1,18.317682
912,9.11,8.946288
913,9.12,3.649761
914,9.13,1.3905143
915,9.14,4.499014
916,9.15,17.661913
917,9.16,7.8418884
918,9.17,8.168778
919,9.18,0.7771518
920,9.19,14.590465
921,9.2,13.031357
922,9.21,15.332263
923,9.22,28.677547
924,9.23,15.319037
925,9.24,25.080954
926,9.25,14.751038
927,9.26,3.1786938
928,9.27,4.475316
929,9.28,18.038992
930,9.29,3.2795684
931,9.3,1.0278512
932,9.31,7.3763556
933,9.32,17.968056
934,9.33,22.297699
935,9.34,21.708294
936,9.35,25.819118
937,9.36,16.107859
938,9.37,13.119386
939,9.38,10.864844
940,9.39,0.2927821
941,9.4,0.66565526
942,9.41,1.3589422
943,9.42,11.977991
944,9.43,3.0825398
945,9.44,5.0621204
946,9.45,1.2567966
947,9.46,0.75427186
948,9.47,0.9403581
949,9.48,1.2315633
950,9.49,0.23777825
951,9.5,1.4960774
952,9.51,1.2299597
953,9.52,2.1404893
954,9.53,0.6569016
955,9.54,3.0598454
956,9.55,2.6274316
957,9.56,3.0477386
958,9.57,4.2830176
959,9.58,3.4206576
960,9.59,2.6597893
961,9.6,2.2783067
962,9.61,1.9313953
963,9.62,1.783947
964,9.63,2.3695946
965,9.64,1.3385645
966,9.65,0.8265885
967,9.66,1.7905465
968,9.67,2.3081682
969,9.68,0.72686493
970,9.69,0.57850516
971,9.7,0.68840253
972,9.71,2.4046676
973,9.72,2.1502562
974,9.73,1.4567846
975,9.74,1.6713349
976,9.75,1.9414536
977,9.76,2.15924
978,9.77,2.146769
979,9.78,1.1413918
980,9.79,1.4927636
981,9.8,0.06477731
982,9.81,1.9206725
983,9.82,1.511436
984,9.83,1.5412484
985,9.84,1.9821955
986,9.85,0.25396845
987,9.86,7.1857495
988,9.87,8.051957
989,9.88,0.7976993
990,9.89,2.115424
991,9.9,1.928656
992,9.91,18.383167
993,9.92,14.9706335
994,9.93,3.9337282
995,9.94,7.161765
996,9.95,8.529967
997,9.96,1.0272355
998,9.97,3.0283833
999,9.98,12.140812
1000,9.99,12.942595
1001,10.0,22.99597
1002,10.01,19.233562
1003,10.02,18.708559
1004,10.03,10.928725
1005,10.04,9.278195
1006,10.05,4.023407
1007,10.06,6.5462427
1008,10.07,2.4915137
1009,10.08,5.673298
1010,10.09,4.2482576
1011,10.1,8.165858
1012,10.11,21.862385
1013,10.12,21.274157
1014,10.13,1.5069181
1015,10.14,6.276622
1016,10.15,7.7611895
1017,10.16,18.187681
1018,10.17,19.578253
1019,10.18,27.571774
1020,10.19,37.415497
1021,10.2,38.659843
1022,10.21,33.492233
1023,10.22,16.634737
1024,10.23,26.452084
1025,10.24,30.434263
1026,10.25,28.38117
1027,10.26,40.409866
1028,10.27,43.445152
1029,10.28,34.692207
1030,10.29,30.938364
1031,10.3,24.212536
1032,10.31,21.73806
1033,10.32,16.462547
1034,10.33,12.322876
1035,10.34,0.31588957
1036,10.35,8.558043
1037,10.36,13.8281975
1038,10.37,8.837339
1039,10.38,17.266636
1040,10.39,39.69136
1041,10.4,38.791958
1042,10.41,46.112793
1043,10.42,51.33375
1044,10.43,42.284122
1045,10.44,28.399086
1046,10.45,32.35571
1047,10.46,22.93805
1048,10.47,27.056541
1049,10.48,23.018429
1050,10.49,22.343445
1051,10.5,18.07692
1052,10.51,25.24029
1053,10.52,3.317569
1054,10.53,0.8592647
1055,10.54,0.3809988
1056,10.55,1.3230579
1057,10.56,14.291388
1058,10.57,1.9776458
1059,10.58,2.057977
1060,10.59,15.048808
1061,10.6,4.3302317
1062,10.61,2.8308961
1063,10.62,4.6705484
1064,10.63,1.4378916
1065,10.64,2.742643
1066,10.65,10.132874
1067,10.66,19.603315
1068,10.67,11.493408
1069,10.68,12.927017
1070,10.69,9.29312
1071,10.7,14.269681
1072,10.71,6.836988
1073,10.72,13.995001
1074,10.73,16.92037
1075,10.74,16.267542
1076,10.75,16.88476
1077,10.76,14.097735
1078,10.77,16.683727
1079,10.78,20.680397
1080,10.79,33.122295
1081,10.8,20.845018
1082,10.81,28.483736
1083,10.82,20.53756
1084,10.83,12.4298525
1085,10.84,21.601072
1086,10.85,20.934996
1087,10.86,22.91472
1088,10.87,32.073166
1089,10.88,38.00717
1090,10.89,38.485577
1091,10.9,43.251637
1092,10.91,38.31343
1093,10.92,32.76117
1094,10.93,27.148634
1095,10.94,24.80328
1096,10.95,41.893456
1097,10.96,40.73672
1098,10.97,40.26197
1099,10.98,36.392643
1100,10.99,26.958952
1101,11.0,35.905754
1102,11.01,23.189774
1103,11.02,25.864918
1104,11.03,26.602434
1105,11.04,17.106922
1106,11.05,5.908023
1107,11.06,1.5627832
1108,11.07,1.8810956
1109,11.08,2.8633072
1110,11.09,1.609475
1111,11.1,12.2258
1112,11.11,0.6822021
1113,11.12,0.8260639
1114,11.13,3.4443839
1115,11.14,5.5792584
1116,11.15,9.917056
1117,11.16,18.262753
1118,11.17,15.540675
1119,11.18,0.6221775
1120,11.19,12.388761
1121,11.2,9.477906
1122,11.21,18.273514
1123,11.22,23.280542
1124,11.23,17.77758
1125,11.24,26.505669
1126,11.25,15.9659605
1127,11.26,31.886066
1128,11.27,43.78402
1129,11.28,39.198383
1130,11.29,32.8167
1131,11.3,43.70833
1132,11.31,42.8263
1133,11.32,47.3708
1134,11.33,44.885754
1135,11.34,49.88732
1136,11.35,29.36558
1137,11.36,42.144756
1138,11.37,34.05038
1139,11.38,44.266804
1140,11.39,41.710342
1141,11.4,51.067394
1142,11.41,45.299828
1143,11.42,59.441338
1144,11.43,52.67222
1145,11.44,46.163574
1146,11.45,40.903233
1147,11.46,39.238544
1148,11.47,48.63125
1149,11.48,55.901787
1150,11.49,50.612926
1151,11.5,60.2094
1152,11.51,58.53114
1153,11.52,64.70397
1154,11.53,65.90325
1155,11.54,70.50319
1156,11.55,64.670715
1157,11.56,65.65102
1158,11.57,62.762043
1159,11.58,56.40659
1160,11.59,55.67335
1161,11.6,62.135895
1162,11.61,61.571243
1163,11.62,52.38521
1164,11.63,45.84501
1165,11.64,5.214638
1166,11.65,39.6938
1167,11.66,3.4207177
1168,11.67,31.498974
1169,11.68,31.368488
1170,11.69,35.20574
1171,11.7,29.81732
1172,11.71,35.0088
1173,11.72,48.38577
1174,11.73,45.675053
1175,11.74,41.064625
1176,11.75,37.49302
1177,11.76,31.576618
1178,11.77,41.570786
1179,11.78,41.867813
1180,11.79,36.539658
1181,11.8,36.850246
1182,11.81,38.810287
1183,11.82,34.30406
1184,11.83,33.823864
1185,11.84,21.704535
1186,11.85,26.020456
1187,11.86,39.724728
1188,11.87,30.469055
1189,11.88,34.80305
1190,11.89,36.265476
1191,11.9,39.948544
1192,11.91,31.593761
1193,11.92,27.41449
1194,11.93,3.2086523
1195,11.94,4.6115317
1196,11.95,37.177433
1197,11.96,39.522205
1198,11.97,38.22713
1199,11.98,37.658283
1200,11.99,32.771656
1201,12.0,36.986126
1202,12.01,38.537666
1203,12.02,32.93544
1204,12.03,46.489456
1205,12.04,35.99653
1206,12.05,38.724033
1207,12.06,34.718426
1208,12.07,40.4633
1209,12.08,43.692192
1210,12.09,37.491966
1211,12.1,38.099274
1212,12.11,26.54367
1213,12.12,30.255053
1214,12.13,34.325493
1215,12.14,29.399704
1216,12.15,34.399284
1217,12.16,27.26155
1218,12.17,27.95053
1219,12.18,28.793
1220,12.19,19.538382
1221,12.2,20.369184
1222,12.21,19.925058
1223,12.22,17.198257
1224,12.23,24.496492
1225,12.24,23.438549
1226,12.25,24.608694
1227,12.26,35.84177
1228,12.27,40.585922
1229,12.28,42.608196
1230,12.29,37.53295
1231,12.3,44.36897
1232,12.31,54.20876
1233,12.32,49.37247
1234,12.33,5.8504257
1235,12.34,5.0659823
1236,12.35,6.3739853
1237,12.36,7.218912
1238,12.37,5.762891
1239,12.38,6.3918924
1240,12.39,6.3682117
1241,12.4,55.691376
1242,12.41,4.7988367
1243,12.42,5.278389
1244,12.43,46.31996
1245,12.44,5.7317424
1246,12.45,6.145023
1247,12.46,5.4411297
1248,12.47,53.165543
1249,12.48,53.527645
1250,12.49,6.06994
1251,12.5,5.450176
1252,12.51,5.89685
1253,12.52,37.64774
1254,12.53,4.688204
1255,12.54,3.091135
1256,12.55,4.075746
1257,12.56,4.394166
1258,12.57,6.654872
1259,12.58,3.4298866
1260,12.59,4.2584605
1261,12.6,37.55131
1262,12.61,5.2953477
1263,12.62,3.9770324
1264,12.63,3.8785377
1265,12.64,33.047684
1266,12.65,39.473015
1267,12.66,38.55906
1268,12.67,41.4729
1269,12.68,44.783855
1270,12.69,43.603626
1271,12.7,40.048485
1272,12.71,54.39415
1273,12.72,58.779785
1274,12.73,54.677452
1275,12.74,54.54561
1276,12.75,62.41626
1277,12.76,49.013123
1278,12.77,66.71808
1279,12.78,60.78185
1280,12.79,58.1912
1281,12.8,49.060013
1282,12.81,48.178986
1283,12.82,52.363995
1284,12.83,63.30097
1285,12.84,59.331814
1286,12.85,5.9856267
1287,12.86,67.6353
1288,12.87,70.5931
1289,12.88,68.54931
1290,12.89,66.568985
1291,12.9,67.340775
1292,12.91,57.177647
1293,12.92,50.872833
1294,12.93,57.46302
1295,12.94,51.11403
1296,12.95,49.15775
1297,12.96,63.036114
1298,12.97,62.893936
1299,12.98,56.796276
1300,12.99,64.58845
1301,13.0,56.06604
1302,13.01,47.158485
1303,13.02,58.82761
1304,13.03,49.71527
1305,13.04,44.415543
1306,13.05,45.227077
1307,13.06,57.386993
1308,13.07,45.673187
1309,13.08,46.071888
1310,13.09,39.496994
1311,13.1,4.8760424
1312,13.11,30.367382
1313,13.12,3.2416537
1314,13.13,4.021966
1315,13.14,35.75893
1316,13.15,4.949289
1317,13.16,44.70133
1318,13.17,33.919376
1319,13.18,42.003143
1320,13.19,33.10855
1321,13.2,40.367645
1322,13.21,39.64398
1323,13.22,37.715652
1324,13.23,31.147293
1325,13.24,32.25185
1326,13.25,40.587452
1327,13.26,42.393486
1328,13.27,23.671305
1329,13.28,4.301692
1330,13.29,3.1057649
1331,13.3,3.9236925
1332,13.31,4.2538004
1333,13.32,4.1121235
1334,13.33,3.1928365
1335,13.34,4.5952725
1336,13.35,3.541888
1337,13.36,3.1859577
1338,13.37,4.793832
1339,13.38,5.177203
1340,13.39,3.8978825
1341,13.4,3.8751786
1342,13.41,4.0225267
1343,13.42,28.312397
1344,13.43,2.9085386
1345,13.44,47.15073
1346,13.45,2.3408804
1347,13.46,3.2219758
1348,13.47,2.5034146
1349,13.48,3.32432
1350,13.49,2.8838968
1351,13.5,3.966238
1352,13.51,3.8971243
1353,13.52,45.50486
1354,13.53,3.7057753
1355,13.54,3.9753757
1356,13.55,3.88039
1357,13.56,3.4996095
1358,13.57,3.8531883
1359,13.58,2.920724
1360,13.59,3.0840378
1361,13.6,2.0147214
1362,13.61,2.5460799
1363,13.62,2.1890883
1364,13.63,0.8582027
1365,13.64,2.037172
1366,13.65,2.1321023
1367,13.66,1.2931758
1368,13.67,0.9392438
1369,13.68,0.18267965
1370,13.69,0.011970694
1371,13.7,1.0772352
1372,13.71,3.1205
1373,13.72,1.2823594
1374,13.73,0.565752
1375,13.74,0.31498358
1376,13.75,0.6289279
1377,13.76,0.18598802
1378,13.77,2.3570848
1379,13.78,3.0152607
1380,13.79,0.78300303
1381,13.8,0.6717321
1382,13.81,0.0665594
1383,13.82,0.1567477
1384,13.83,1.120555
1385,13.84,0.89848423
1386,13.85,3.9884334
1387,13.86,0.7979891
1388,13.87,2.304734
1389,13.88,17.774944
1390,13.89,1.5177804
1391,13.9,2.2622771
1392,13.91,2.1260514
1393,13.92,1.2337941
1394,13.93,2.6627421
1395,13.94,2.7881649
1396,13.95,3.0476303
1397,13.96,2.4552634
1398,13.97,2.305292
1399,13.98,2.7819
1400,13.99,2.452502
1401,14.0,2.0058134
1402,14.01,1.1656839
1403,14.02,15.988056
1404,14.03,1.791262
1405,14.04,1.7168794
1406,14.05,1.0893348
1407,14.06,1.754329
1408,14.07,1.0257604
1409,14.08,1.6909794
1410,14.09,1.4754107
1411,14.1,2.084496
1412,14.11,3.2561545
1413,14.12,2.8754842
1414,14.13,1.0659125
1415,14.14,1.2406658
1416,14.15,2.385879
1417,14.16,1.6268417
1418,14.17,0.6720709
1419,14.18,6.395405
1420,14.19,4.0827127
1421,14.2,3.2144613
1422,14.21,2.883631
1423,14.22,3.714656
1424,14.23,0.08988866
1425,14.24,8.033207
1426,14.25,2.739122
1427,14.26,2.3066673
1428,14.27,9.608227
1429,14.28,1.583177
1430,14.29,7.4168243
1431,14.3,2.635243
1432,14.31,10.731086
1433,14.32,3.4996836
1434,14.33,3.8699193
1435,14.34,2.0521164
1436,14.35,0.19019125
1437,14.36,7.521491
1438,14.37,2.0527952
1439,14.38,0.9040173
1440,14.39,4.1774735
1441,14.4,10.612384
1442,14.41,22.338415
1443,14.42,7.269492
1444,14.43,1.8046703
1445,14.44,3.3966048
1446,14.45,11.765622
1447,14.46,10.367869
1448,14.47,6.069937
1449,14.48,10.361594
1450,14.49,0.49125472
1451,14.5,0.0866198
1452,14.51,0.550173
1453,14.52,0.111671396
1454,14.53,7.791474
1455,14.54,0.25213432
1456,14.55,0.083277784
1457,14.56,12.727175
1458,14.57,6.3481
1459,14.58,6.0344453
1460,14.59,15.593615
1461,14.6,20.568003
1462,14.61,21.201288
1463,14.62,19.472763
1464,14.63,24.671896
1465,14.64,19.273882
1466,14.65,17.174316
1467,14.66,14.438876
1468,14.67,5.0558276
1469,14.68,0.03220801
1470,14.69,1.1050533
1471,14.7,0.358877
1472,14.71,3.7972627
1473,14.72,4.9739485
1474,14.73,8.699787
1475,14.74,15.942495
1476,14.75,17.972168
1477,14.76,7.834823
1478,14.77,21.735165
1479,14.78,2.5812836
1480,14.79,0.6324093
1481,14.8,9.204306
1482,14.81,5.4069314
1483,14.82,9.937972
1484,14.83,24.017715
1485,14.84,0.72820103
1486,14.85,0.22460203
1487,14.86,0.75645256
1488,14.87,1.5247895
1489,14.88,7.378126
1490,14.89,0.9908457
1491,14.9,0.06707229
1492,14.91,0.8439054
1493,14.92,5.029767
1494,14.93,8.339242
1495,14.94,26.468706
1496,14.95,20.452513
1497,14.96,23.055643
1498,14.97,13.077834
1499,14.98,9.103541
1500,14.99,6.2720118
1501,15.0,10.661543
1502,15.01,26.812265
1503,15.02,17.118225
1504,15.03,20.195982
1505,15.04,14.124199
1506,15.05,16.977818
1507,15.06,17.547731
1508,15.07,17.136175
1509,15.08,9.650744
1510,15.09,0.09243814
1511,15.1,0.09999151
1512,15.11,2.412021
1513,15.12,3.5904818
1514,15.13,0.19119328
1515,15.14,1.9514073
1516,15.15,4.0982013
1517,15.16,16.6771
1518,15.17,4.853362
1519,15.18,1.8333938
1520,15.19,5.396664
1521,15.2,13.577372
1522,15.21,2.4003823
1523,15.22,0.4690101
1524,15.23,6.1099176
1525,15.24,4.3428593
1526,15.25,11.368473
1527,15.26,6.2591968
1528,15.27,10.500079
1529,15.28,12.470284
1530,15.29,21.367216
1531,15.3,16.705086
1532,15.31,13.486677
1533,15.32,16.123102
1534,15.33,15.667782
1535,15.34,28.340826
1536,15.35,34.45065
1537,15.36,28.382963
1538,15.37,24.32067
1539,15.38,1.027596
1540,15.39,2.8588202
1541,15.4,2.4545436
1542,15.41,7.5939736
1543,15.42,14.815784
1544,15.43,1.6440281
1545,15.44,10.620063
1546,15.45,23.895435
1547,15.46,31.678368
1548,15.47,11.346311
1549,15.48,18.019838
1550,15.49,8.301275
1551,15.5,3.0381377
1552,15.51,2.3418016
1553,15.52,12.069617
1554,15.53,8.11967
1555,15.54,16.788336
1556,15.55,30.845959
1557,15.56,27.690613
1558,15.57,25.10615
1559,15.58,18.090405
1560,15.59,5.376038
1561,15.6,3.61344
1562,15.61,1.950085
1563,15.62,0.08010642
1564,15.63,2.8815253
1565,15.64,8.074191
